Country Name,Country Code,Year,Control of Corruption: Percentile Rank,Government Effectiveness: Percentile Rank,Political Stability and Absence of Violence/Terrorism: Percentile Rank,Regulatory Quality: Percentile Rank,Rule of Law: Percentile Rank,Voice and Accountability: Percentile Rank
Afghanistan,AFG,2003,4.761904716,9.729729652,2.010050297,4.864864826,2.98507452,14.42786026
Afghanistan,AFG,2004,6.403940678,16.91542244,1.941747546,5.97014904,2.403846264,15.38461494
Afghanistan,AFG,2005,1.463414669,9.313725471,2.427184582,2.941176414,2.392344475,14.90384579
Afghanistan,AFG,2006,1.951219559,4.390244007,1.449275374,2.941176414,0.478468895,17.78846169
Afghanistan,AFG,2007,0.970873773,4.368932247,1.449275374,2.91262126,0.478468895,18.75
Afghanistan,AFG,2008,0.485436887,3.398058176,0.480769217,3.398058176,0.480769217,14.42307663
Afghanistan,AFG,2009,0.95693779,2.87081337,0.473933637,3.349282265,0.473933637,9.478672981
Afghanistan,AFG,2010,0.952380955,3.82775116,1.421800971,5.74162674,0.473933637,9.952606201
Afghanistan,AFG,2011,0.473933637,4.739336491,1.421800971,4.265402794,0.469483554,11.26760578
Afghanistan,AFG,2012,1.421800971,5.687203884,1.895734549,10.42654037,1.408450723,14.08450699
Afghanistan,AFG,2013,0.947867274,6.161137581,1.421800971,10.42654037,1.877934217,14.55399036
Afghanistan,AFG,2014,5.288461685,7.211538315,2.857142925,11.05769253,4.326922894,16.25615692
Afghanistan,AFG,2015,5.714285851,6.666666508,0.952380955,13.80952358,4.285714149,18.71921158
Afghanistan,AFG,2016,3.809523821,7.619047642,0.952380955,7.142857075,5.714285851,20.6896553
Afghanistan,AFG,2017,3.809523821,7.142857075,0.476190478,7.142857075,5.238095284,22.1674881
Afghanistan,AFG,2018,4.761904716,7.142857075,0.471698105,10.47619057,4.285714149,20.38834953
Afghanistan,AFG,2019,5.714285851,6.666666508,0.943396211,10.47619057,4.285714149,21.25603867
Afghanistan,AFG,2020,4.761904716,5.238095284,0.471698105,8.095237732,2.380952358,19.8067627
